date,city_code,company,atliqo_revenue_crores,arpu,active_users_lakhs,unsubscribed_users_lakhs
01-Jul-22,411001,Atliqo,27.98,173,16.17,1.38
01-Jul-22,380001,Atliqo,19.44,175,11.11,0.89
01-Jul-22,302001,Atliqo,15.29,182,8.4,0.7
01-Jul-22,226001,Atliqo,24.77,162,15.29,1.45
01-Jul-22,800008,Atliqo,11.48,212,5.42,0.55
01-Jul-22,641001,Atliqo,11.53,218,5.29,0.45
01-Jul-22,160017,Atliqo,6.11,250,2.44,0.22
01-Jul-22,122001,Atliqo,9.37,231,4.06,0.3
01-Jul-22,492001,Atliqo,4.17,236,1.77,0.16
01-Aug-22,400001,Atliqo,58.35,248,23.53,1.85
01-Aug-22,110001,Atliqo,48.93,202,24.22,2.37
01-Aug-22,700001,Atliqo,69.0,195,35.38,3.57
01-Aug-22,560001,Atliqo,43.59,183,23.82,1.81
01-Aug-22,600001,Atliqo,30.27,209,14.48,1.18
01-Aug-22,500001,Atliqo,28.35,231,12.27,1.27
01-Aug-22,411001,Atliqo,31.66,161,19.66,1.76
01-Aug-22,380001,Atliqo,29.23,224,13.05,1.22
01-Aug-22,302001,Atliqo,17.71,175,10.12,1.03
01-Aug-22,226001,Atliqo,15.67,248,6.32,0.58
01-Aug-22,800008,Atliqo,11.05,212,5.21,0.52
01-Aug-22,641001,Atliqo,17.7,235,7.53,0.72
01-Aug-22,160017,Atliqo,7.67,191,4.02,0.39
01-Aug-22,122001,Atliqo,6.31,192,3.29,0.26
01-Aug-22,492001,Atliqo,3.59,237,1.51,0.14
01-Sep-22,400001,Atliqo,64.81,240,27.0,2.25
01-Sep-22,110001,Atliqo,48.47,218,22.23,2.22
01-Sep-22,700001,Atliqo,47.95,209,22.94,1.73
01-Sep-22,560001,Atliqo,42.22,225,18.76,1.92
01-Sep-22,600001,Atliqo,31.55,188,16.78,1.73
01-Sep-22,500001,Atliqo,27.34,250,10.94,0.87
01-Sep-22,411001,Atliqo,45.79,164,27.92,2.32
01-Sep-22,380001,Atliqo,23.07,255,9.05,0.65
01-Sep-22,302001,Atliqo,14.93,229,6.52,0.71
01-Sep-22,226001,Atliqo,13.28,249,5.33,0.44
01-Sep-22,800008,Atliqo,11.86,250,4.74,0.38
01-Sep-22,641001,Atliqo,8.59,177,4.85,0.53
01-Sep-22,160017,Atliqo,10.32,163,6.33,0.63
01-Sep-22,122001,Atliqo,6.35,238,2.67,0.21
01-Sep-22,492001,Atliqo,3.73,173,2.16,0.18
