date,city_code,plans,plan_revenue_crores
01-Aug-22,560001,p1,5.99
01-Aug-22,600001,p1,4.35
01-Aug-22,500001,p1,4.09
01-Aug-22,411001,p1,4.74
01-Aug-22,380001,p1,4.54
01-Aug-22,302001,p1,2.65
01-Aug-22,226001,p1,2.3
01-Aug-22,800008,p1,1.71
01-Aug-22,641001,p1,2.44
01-Aug-22,160017,p1,1.18
01-Aug-22,122001,p1,0.87
01-Aug-22,492001,p1,0.54
01-Sep-22,400001,p1,9.5
01-Sep-22,110001,p1,7.5
01-Sep-22,700001,p1,6.92
01-Sep-22,560001,p1,5.62
01-Sep-22,600001,p1,4.64
01-Sep-22,500001,p1,4.02
01-Sep-22,411001,p1,7.42
01-Sep-22,380001,p1,3.73
01-Sep-22,302001,p1,2.31
01-Sep-22,226001,p1,2.23
01-Sep-22,800008,p1,2.04
01-Sep-22,641001,p1,1.35
01-Sep-22,160017,p1,1.43
01-Sep-22,122001,p1,1.02
01-Sep-22,492001,p1,0.54
01-Jan-22,400001,p2,4.87
01-Jan-22,110001,p2,4.01
01-Jan-22,700001,p2,4.01
01-Jan-22,560001,p2,3.76
01-Jan-22,600001,p2,2.82
01-Jan-22,500001,p2,2.42
01-Jan-22,411001,p2,2.05
01-Jan-22,380001,p2,1.92
01-Jan-22,302001,p2,1.98
01-Jan-22,226001,p2,1.22
01-Jan-22,800008,p2,1.53
01-Jan-22,641001,p2,0.58
01-Jan-22,160017,p2,0.61
01-Jan-22,122001,p2,0.42
01-Jan-22,492001,p2,0.35
01-Feb-22,400001,p2,5.64
01-Feb-22,110001,p2,4.77
01-Feb-22,700001,p2,4.59
01-Feb-22,560001,p2,4.77
01-Feb-22,600001,p2,5.95
01-Feb-22,500001,p2,3.12
01-Feb-22,411001,p2,2.66
01-Feb-22,380001,p2,1.62
01-Feb-22,302001,p2,1.21
01-Feb-22,226001,p2,2.8
01-Feb-22,800008,p2,1.06
01-Feb-22,641001,p2,1.03
01-Feb-22,160017,p2,0.51
01-Feb-22,122001,p2,0.79
01-Feb-22,492001,p2,0.4
01-Mar-22,400001,p2,4.93
01-Mar-22,110001,p2,4.38
01-Mar-22,700001,p2,6.21
01-Mar-22,560001,p2,4.51
01-Mar-22,600001,p2,2.5
01-Mar-22,500001,p2,2.7
01-Mar-22,411001,p2,3.19
01-Mar-22,380001,p2,2.89
01-Mar-22,302001,p2,1.52
01-Mar-22,226001,p2,1.42
01-Mar-22,800008,p2,0.91
01-Mar-22,641001,p2,1.72
01-Mar-22,160017,p2,0.85
01-Mar-22,122001,p2,0.5
01-Mar-22,492001,p2,0.33
01-Apr-22,400001,p2,5.09
01-Apr-22,110001,p2,3.83
01-Apr-22,700001,p2,4.36
01-Apr-22,560001,p2,4.22
01-Apr-22,600001,p2,3.31
01-Apr-22,500001,p2,2.22
01-Apr-22,411001,p2,4.71
01-Apr-22,380001,p2,2.56
01-Apr-22,302001,p2,1.36
01-Apr-22,226001,p2,1.25
01-Apr-22,800008,p2,1.05
01-Apr-22,641001,p2,0.92
01-Apr-22,160017,p2,1.01
01-Apr-22,122001,p2,0.52
01-Apr-22,492001,p2,0.36
01-Jun-22,400001,p2,6.47
01-Jun-22,110001,p2,3.68
01-Jun-22,700001,p2,3.09
01-Jun-22,560001,p2,4.02
01-Jun-22,600001,p2,2.91
01-Jun-22,500001,p2,2.64
01-Jun-22,411001,p2,2.16
01-Jun-22,380001,p2,2.1
01-Jun-22,302001,p2,2.12
01-Jun-22,226001,p2,0.99
01-Jun-22,800008,p2,1.57
01-Jun-22,641001,p2,0.72
01-Jun-22,160017,p2,0.64
01-Jun-22,122001,p2,0.47
01-Jun-22,492001,p2,0.41
01-Jul-22,400001,p2,5.81
01-Jul-22,110001,p2,4.79
01-Jul-22,700001,p2,3.41
01-Jul-22,560001,p2,4.39
01-Jul-22,600001,p2,5.09
01-Jul-22,500001,p2,3.12
01-Jul-22,411001,p2,2.44
01-Jul-22,380001,p2,2.06
01-Jul-22,302001,p2,1.38
01-Jul-22,226001,p2,2.28
01-Jul-22,800008,p2,0.92
01-Jul-22,641001,p2,1.12
01-Jul-22,160017,p2,0.56
01-Jul-22,122001,p2,0.96
01-Jul-22,492001,p2,0.46
01-Aug-22,400001,p2,5.26
01-Aug-22,110001,p2,4.49
01-Aug-22,700001,p2,6.82
01-Aug-22,560001,p2,4.16
01-Aug-22,600001,p2,3.26
01-Aug-22,500001,p2,2.76
01-Aug-22,411001,p2,2.6
01-Aug-22,380001,p2,2.54
01-Aug-22,302001,p2,1.52
01-Aug-22,226001,p2,1.57
01-Aug-22,800008,p2,0.98
01-Aug-22,641001,p2,1.63
01-Aug-22,160017,p2,0.66
01-Aug-22,122001,p2,0.57
01-Aug-22,492001,p2,0.37
01-Sep-22,400001,p2,5.46
01-Sep-22,110001,p2,5.47
01-Sep-22,700001,p2,4.32
01-Sep-22,560001,p2,3.85
01-Sep-22,600001,p2,2.6
01-Sep-22,500001,p2,2.34
01-Sep-22,411001,p2,4.16
01-Sep-22,380001,p2,2.08
01-Sep-22,302001,p2,1.48
01-Sep-22,226001,p2,1.31
01-Sep-22,800008,p2,1.07
01-Sep-22,641001,p2,0.78
01-Sep-22,160017,p2,0.89
01-Sep-22,122001,p2,0.54
01-Sep-22,492001,p2,0.41
01-Jan-22,400001,p3,4.17
01-Jan-22,110001,p3,4.01
01-Jan-22,700001,p3,3.88
01-Jan-22,560001,p3,3.01
01-Jan-22,600001,p3,2.53
01-Jan-22,500001,p3,2.09
01-Jan-22,411001,p3,2.05
01-Jan-22,380001,p3,1.79
01-Jan-22,302001,p3,1.64
01-Jan-22,226001,p3,1.18
01-Jan-22,800008,p3,1.53
01-Jan-22,641001,p3,0.49
01-Jan-22,160017,p3,0.53
01-Jan-22,122001,p3,0.45
01-Jan-22,492001,p3,0.29
01-Feb-22,400001,p3,4.63
01-Feb-22,110001,p3,3.62
01-Feb-22,700001,p3,3.37
01-Feb-22,560001,p3,3.88
01-Feb-22,600001,p3,5.1
01-Feb-22,500001,p3,3.01
01-Feb-22,411001,p3,2.75
01-Feb-22,380001,p3,1.62
01-Feb-22,302001,p3,0.95
01-Feb-22,226001,p3,2.33
01-Feb-22,800008,p3,1.02
01-Feb-22,641001,p3,1.11
01-Feb-22,160017,p3,0.51
01-Feb-22,122001,p3,0.66
01-Feb-22,492001,p3,0.34
01-Mar-22,400001,p3,4.56
01-Mar-22,110001,p3,3.9
01-Mar-22,700001,p3,5.99
01-Mar-22,560001,p3,3.88
01-Mar-22,600001,p3,2.59
01-Mar-22,500001,p3,2.41
01-Mar-22,411001,p3,2.64
01-Mar-22,380001,p3,2.8
01-Mar-22,302001,p3,1.46
01-Mar-22,226001,p3,1.23
01-Mar-22,800008,p3,0.78
01-Mar-22,641001,p3,1.61
01-Mar-22,160017,p3,0.65
01-Mar-22,122001,p3,0.53
01-Mar-22,492001,p3,0.29
01-Apr-22,400001,p3,3.73
01-Apr-22,110001,p3,3.15
01-Apr-22,700001,p3,3.34
01-Apr-22,560001,p3,3.62
01-Apr-22,600001,p3,3.31
01-Apr-22,500001,p3,2.06
01-Apr-22,411001,p3,4.22
01-Apr-22,380001,p3,2.48
01-Apr-22,302001,p3,1.22
01-Apr-22,226001,p3,1.3
01-Apr-22,800008,p3,1.09
01-Apr-22,641001,p3,0.76
01-Apr-22,160017,p3,0.94
01-Apr-22,122001,p3,0.45
01-Apr-22,492001,p3,0.4
01-Jun-22,400001,p3,5.95
01-Jun-22,110001,p3,3.53
01-Jun-22,700001,p3,2.95
01-Jun-22,560001,p3,3.37
01-Jun-22,600001,p3,3.04
01-Jun-22,500001,p3,2.53
01-Jun-22,411001,p3,1.71
01-Jun-22,380001,p3,1.53
01-Jun-22,302001,p3,1.71
01-Jun-22,226001,p3,0.99
01-Jun-22,800008,p3,1.24
01-Jun-22,641001,p3,0.5
01-Jun-22,160017,p3,0.5
01-Jun-22,122001,p3,0.45
01-Jun-22,492001,p3,0.41
01-Jul-22,400001,p3,5.36
01-Jul-22,110001,p3,4.79
01-Jul-22,700001,p3,2.86
01-Jul-22,560001,p3,3.91
01-Jul-22,600001,p3,3.98
01-Jul-22,500001,p3,3.12
01-Jul-22,411001,p3,2.14
01-Jul-22,380001,p3,1.59
01-Jul-22,302001,p3,1.05
01-Jul-22,226001,p3,1.64
01-Jul-22,800008,p3,0.8
01-Jul-22,641001,p3,1.07
01-Jul-22,160017,p3,0.53
01-Jul-22,122001,p3,0.85
01-Jul-22,492001,p3,0.38
01-Aug-22,400001,p3,4.25
01-Aug-22,110001,p3,3.37
01-Aug-22,700001,p3,6.55
01-Aug-22,560001,p3,3.5
01-Aug-22,600001,p3,2.42
01-Aug-22,500001,p3,2.54
01-Aug-22,411001,p3,2.15
01-Aug-22,380001,p3,1.99
01-Aug-22,302001,p3,1.52
01-Aug-22,226001,p3,1.39
01-Aug-22,800008,p3,0.94
01-Aug-22,641001,p3,1.49
01-Aug-22,160017,p3,0.49
01-Aug-22,122001,p3,0.55
01-Aug-22,492001,p3,0.33
01-Sep-22,400001,p3,4.75
01-Sep-22,110001,p3,4.66
01-Sep-22,700001,p3,3.98
01-Sep-22,560001,p3,2.96
01-Sep-22,600001,p3,2.04
01-Sep-22,500001,p3,1.87
01-Sep-22,411001,p3,3.62
01-Sep-22,380001,p3,2.0
01-Sep-22,302001,p3,1.35
01-Sep-22,226001,p3,1.09
01-Sep-22,800008,p3,1.07
01-Sep-22,641001,p3,0.64
01-Sep-22,160017,p3,0.81
01-Sep-22,122001,p3,0.45
01-Sep-22,492001,p3,0.36
01-Jan-22,400001,p4,3.48
01-Jan-22,110001,p4,3.29
01-Jan-22,700001,p4,3.32
01-Jan-22,560001,p4,2.88
01-Jan-22,600001,p4,2.04
01-Jan-22,500001,p4,1.67
01-Jan-22,411001,p4,1.54
01-Jan-22,380001,p4,1.37
01-Jan-22,302001,p4,1.3
01-Jan-22,226001,p4,0.8
01-Jan-22,800008,p4,1.11
01-Jan-22,641001,p4,0.45
01-Jan-22,160017,p4,0.39
01-Jan-22,122001,p4,0.36
01-Jan-22,492001,p4,0.29
01-Feb-22,400001,p4,4.03
01-Feb-22,110001,p4,2.96
01-Feb-22,700001,p4,2.91
01-Feb-22,560001,p4,3.18
01-Feb-22,600001,p4,4.04
01-Feb-22,500001,p4,2.2
01-Feb-22,411001,p4,1.97
01-Feb-22,380001,p4,1.08
01-Feb-22,302001,p4,0.91
01-Feb-22,226001,p4,1.96
01-Feb-22,800008,p4,0.68
01-Feb-22,641001,p4,0.85
01-Feb-22,160017,p4,0.36
01-Feb-22,122001,p4,0.61
01-Feb-22,492001,p4,0.27
01-Mar-22,400001,p4,3.47
01-Mar-22,110001,p4,3.41
01-Mar-22,700001,p4,4.21
01-Mar-22,560001,p4,2.95
01-Mar-22,600001,p4,1.76
01-Mar-22,500001,p4,2.31
01-Mar-22,411001,p4,2.09
01-Mar-22,380001,p4,2.12
01-Mar-22,302001,p4,0.94
01-Mar-22,226001,p4,1.13
01-Mar-22,800008,p4,0.66
01-Mar-22,641001,p4,1.13
01-Mar-22,160017,p4,0.68
01-Mar-22,122001,p4,0.32
01-Mar-22,492001,p4,0.23
01-Apr-22,400001,p4,3.9
01-Apr-22,110001,p4,3.15
01-Apr-22,700001,p4,3.2
01-Apr-22,560001,p4,3.62
01-Apr-22,600001,p4,2.45
01-Apr-22,500001,p4,1.74
01-Apr-22,411001,p4,3.25
01-Apr-22,380001,p4,1.86
01-Apr-22,302001,p4,0.89
01-Apr-22,226001,p4,0.89
01-Apr-22,800008,p4,0.86
01-Apr-22,641001,p4,0.7
01-Apr-22,160017,p4,0.72
01-Apr-22,122001,p4,0.34
01-Apr-22,492001,p4,0.26
01-Jun-22,400001,p4,3.36
01-Jun-22,110001,p4,2.21
01-Jun-22,700001,p4,2.15
01-Jun-22,560001,p4,2.41
01-Jun-22,600001,p4,1.72
01-Jun-22,500001,p4,1.32
01-Jun-22,411001,p4,1.44
01-Jun-22,380001,p4,1.29
01-Jun-22,302001,p4,1.14
01-Jun-22,226001,p4,0.62
01-Jun-22,800008,p4,1.05
01-Jun-22,641001,p4,0.36
01-Jun-22,160017,p4,0.32
01-Jun-22,122001,p4,0.3
01-Jun-22,492001,p4,0.26
01-Jul-22,400001,p4,2.68
01-Jul-22,110001,p4,3.33
01-Jul-22,700001,p4,2.32
01-Jul-22,560001,p4,2.6
01-Jul-22,600001,p4,3.1
01-Jul-22,500001,p4,2.03
01-Jul-22,411001,p4,1.53
01-Jul-22,380001,p4,1.27
01-Jul-22,302001,p4,0.94
01-Jul-22,226001,p4,1.46
01-Jul-22,800008,p4,0.6
01-Jul-22,641001,p4,0.7
01-Jul-22,160017,p4,0.34
01-Jul-22,122001,p4,0.55
01-Jul-22,492001,p4,0.22
01-Aug-22,400001,p4,3.44
01-Aug-22,110001,p4,2.81
01-Aug-22,700001,p4,3.28
01-Aug-22,560001,p4,2.83
01-Aug-22,600001,p4,1.45
01-Aug-22,500001,p4,1.66
01-Aug-22,411001,p4,1.47
01-Aug-22,380001,p4,1.77
01-Aug-22,302001,p4,0.86
01-Aug-22,226001,p4,0.85
01-Aug-22,800008,p4,0.73
01-Aug-22,641001,p4,0.81
01-Aug-22,160017,p4,0.44
01-Aug-22,122001,p4,0.28
01-Aug-22,492001,p4,0.21
01-Sep-22,400001,p4,3.09
01-Sep-22,110001,p4,2.84
01-Sep-22,700001,p4,2.25
01-Sep-22,560001,p4,2.37
01-Sep-22,600001,p4,1.7
01-Sep-22,500001,p4,1.31
01-Sep-22,411001,p4,2.35
01-Sep-22,380001,p4,1.3
01-Sep-22,302001,p4,0.9
01-Sep-22,226001,p4,0.74
01-Sep-22,800008,p4,0.68
01-Sep-22,641001,p4,0.57
01-Sep-22,160017,p4,0.5
01-Sep-22,122001,p4,0.33
01-Sep-22,492001,p4,0.24
01-Jan-22,400001,p5,3.13
01-Jan-22,110001,p5,2.86
01-Jan-22,700001,p5,2.77
01-Jan-22,560001,p5,2.13
01-Jan-22,600001,p5,1.85
01-Jan-22,500001,p5,1.59
01-Jan-22,411001,p5,1.32
01-Jan-22,380001,p5,1.37
01-Jan-22,302001,p5,1.3
01-Jan-22,226001,p5,0.8
01-Jan-22,800008,p5,1.0
01-Jan-22,641001,p5,0.45
01-Jan-22,160017,p5,0.41
01-Jan-22,122001,p5,0.31
01-Jan-22,492001,p5,0.26
01-Feb-22,400001,p5,4.03
01-Feb-22,110001,p5,2.8
01-Feb-22,700001,p5,3.06
01-Feb-22,560001,p5,3.35
01-Feb-22,600001,p5,4.47
01-Feb-22,500001,p5,2.31
01-Feb-22,411001,p5,1.97
01-Feb-22,380001,p5,1.26
01-Feb-22,302001,p5,0.86
01-Feb-22,226001,p5,1.86
01-Feb-22,800008,p5,0.76
01-Feb-22,641001,p5,0.66
01-Feb-22,160017,p5,0.34
01-Feb-22,122001,p5,0.5
01-Feb-22,492001,p5,0.3
01-Mar-22,400001,p5,3.29
01-Mar-22,110001,p5,3.25
01-Mar-22,700001,p5,4.21
01-Mar-22,560001,p5,2.8
01-Mar-22,600001,p5,1.67
01-Mar-22,500001,p5,1.83
01-Mar-22,411001,p5,2.2
01-Mar-22,380001,p5,1.64
01-Mar-22,302001,p5,1.05
01-Mar-22,226001,p5,0.85
01-Mar-22,800008,p5,0.62
01-Mar-22,641001,p5,1.25
01-Mar-22,160017,p5,0.57
01-Mar-22,122001,p5,0.36
01-Mar-22,492001,p5,0.24
01-Apr-22,400001,p5,3.22
01-Apr-22,110001,p5,2.6
01-Apr-22,700001,p5,2.76
01-Apr-22,560001,p5,3.02
01-Apr-22,600001,p5,2.33
01-Apr-22,500001,p5,1.35
01-Apr-22,411001,p5,3.41
01-Apr-22,380001,p5,1.59
01-Apr-22,302001,p5,0.84
01-Apr-22,226001,p5,0.85
01-Apr-22,800008,p5,0.78
01-Apr-22,641001,p5,0.57
01-Apr-22,160017,p5,0.65
01-Apr-22,122001,p5,0.34
01-Apr-22,492001,p5,0.24
01-Jun-22,400001,p5,2.85
01-Jun-22,110001,p5,1.62
01-Jun-22,700001,p5,1.34
01-Jun-22,560001,p5,1.77
01-Jun-22,600001,p5,1.32
01-Jun-22,500001,p5,1.21
01-Jun-22,411001,p5,0.81
01-Jun-22,380001,p5,0.81
01-Jun-22,302001,p5,0.73
01-Jun-22,226001,p5,0.41
01-Jun-22,800008,p5,0.59
01-Jun-22,641001,p5,0.33
01-Jun-22,160017,p5,0.22
01-Jun-22,122001,p5,0.2
01-Jun-22,492001,p5,0.19
01-Jul-22,400001,p5,2.9
01-Jul-22,110001,p5,2.08
01-Jul-22,700001,p5,1.5
01-Jul-22,560001,p5,1.46
01-Jul-22,600001,p5,2.21
01-Jul-22,500001,p5,1.63
01-Jul-22,411001,p5,1.22
01-Jul-22,380001,p5,0.71
01-Jul-22,302001,p5,0.66
01-Jul-22,226001,p5,1.09
01-Jul-22,800008,p5,0.44
01-Jul-22,641001,p5,0.42
01-Jul-22,160017,p5,0.27
01-Jul-22,122001,p5,0.4
01-Jul-22,492001,p5,0.21
01-Aug-22,400001,p5,2.63
01-Aug-22,110001,p5,2.06
01-Aug-22,700001,p5,2.73
01-Aug-22,560001,p5,1.83
01-Aug-22,600001,p5,1.33
01-Aug-22,500001,p5,1.44
01-Aug-22,411001,p5,1.02
01-Aug-22,380001,p5,1.44
01-Aug-22,302001,p5,0.73
01-Aug-22,226001,p5,0.73
01-Aug-22,800008,p5,0.51
01-Aug-22,641001,p5,0.75
01-Aug-22,160017,p5,0.27
01-Aug-22,122001,p5,0.28
01-Aug-22,492001,p5,0.13
01-Sep-22,400001,p5,2.61
01-Sep-22,110001,p5,2.03
01-Sep-22,700001,p5,1.73
01-Sep-22,560001,p5,1.33
01-Sep-22,600001,p5,1.24
01-Sep-22,500001,p5,0.94
01-Sep-22,411001,p5,1.63
01-Sep-22,380001,p5,0.87
01-Sep-22,302001,p5,0.77
01-Sep-22,226001,p5,0.57
01-Sep-22,800008,p5,0.58
01-Sep-22,641001,p5,0.43
01-Sep-22,160017,p5,0.5
01-Sep-22,122001,p5,0.26
01-Sep-22,492001,p5,0.18
01-Jan-22,400001,p6,2.26
01-Jan-22,110001,p6,2.0
01-Jan-22,700001,p6,1.94
01-Jan-22,560001,p6,1.88
01-Jan-22,600001,p6,1.56
01-Jan-22,500001,p6,1.34
01-Jan-22,411001,p6,0.95
01-Jan-22,380001,p6,1.17
01-Jan-22,302001,p6,1.03
01-Jan-22,226001,p6,0.67
01-Jan-22,800008,p6,0.9
01-Jan-22,641001,p6,0.34
01-Jan-22,160017,p6,0.26
01-Jan-22,122001,p6,0.2
01-Jan-22,492001,p6,0.19
01-Feb-22,400001,p6,2.62
01-Feb-22,110001,p6,2.14
01-Feb-22,700001,p6,1.99
01-Feb-22,560001,p6,2.65
01-Feb-22,600001,p6,2.55
01-Feb-22,500001,p6,1.5
01-Feb-22,411001,p6,1.28
01-Feb-22,380001,p6,0.9
01-Feb-22,302001,p6,0.69
01-Feb-22,226001,p6,1.49
01-Feb-22,800008,p6,0.53
01-Feb-22,641001,p6,0.52
01-Feb-22,160017,p6,0.27
01-Feb-22,122001,p6,0.34
01-Feb-22,492001,p6,0.22
01-Mar-22,400001,p6,2.74
01-Mar-22,110001,p6,1.95
01-Mar-22,700001,p6,3.55
01-Mar-22,560001,p6,2.02
01-Mar-22,600001,p6,1.39
01-Mar-22,500001,p6,1.64
01-Mar-22,411001,p6,1.43
01-Mar-22,380001,p6,1.64
01-Mar-22,302001,p6,0.68
01-Mar-22,226001,p6,0.8
01-Mar-22,800008,p6,0.37
01-Mar-22,641001,p6,0.77
01-Mar-22,160017,p6,0.43
01-Mar-22,122001,p6,0.25
01-Mar-22,492001,p6,0.19
01-Apr-22,400001,p6,2.72
01-Apr-22,110001,p6,1.64
01-Apr-22,700001,p6,2.33
01-Apr-22,560001,p6,2.56
01-Apr-22,600001,p6,1.84
01-Apr-22,500001,p6,1.03
01-Apr-22,411001,p6,1.95
01-Apr-22,380001,p6,1.33
01-Apr-22,302001,p6,0.7
01-Apr-22,226001,p6,0.72
01-Apr-22,800008,p6,0.51
01-Apr-22,641001,p6,0.41
01-Apr-22,160017,p6,0.5
01-Apr-22,122001,p6,0.22
01-Apr-22,492001,p6,0.22
01-Jun-22,400001,p6,1.81
01-Jun-22,110001,p6,1.18
01-Jun-22,700001,p6,1.07
01-Jun-22,560001,p6,1.29
01-Jun-22,600001,p6,1.06
01-Jun-22,500001,p6,0.99
01-Jun-22,411001,p6,0.63
01-Jun-22,380001,p6,0.73
01-Jun-22,302001,p6,0.65
01-Jun-22,226001,p6,0.29
01-Jun-22,800008,p6,0.52
01-Jun-22,641001,p6,0.19
01-Jun-22,160017,p6,0.2
01-Jun-22,122001,p6,0.16
01-Jun-22,492001,p6,0.15
01-Jul-22,400001,p6,2.23
01-Jul-22,110001,p6,1.46
01-Jul-22,700001,p6,1.23
01-Jul-22,560001,p6,1.46
01-Jul-22,600001,p6,1.99
01-Jul-22,500001,p6,1.22
01-Jul-22,411001,p6,0.81
01-Jul-22,380001,p6,0.56
01-Jul-22,302001,p6,0.44
01-Jul-22,226001,p6,0.73
01-Jul-22,800008,p6,0.4
01-Jul-22,641001,p6,0.33
01-Jul-22,160017,p6,0.19
01-Jul-22,122001,p6,0.26
01-Jul-22,492001,p6,0.17
01-Aug-22,400001,p6,1.42
01-Aug-22,110001,p6,1.31
01-Aug-22,700001,p6,2.18
01-Aug-22,560001,p6,1.17
01-Aug-22,600001,p6,0.97
01-Aug-22,500001,p6,0.99
01-Aug-22,411001,p6,1.02
01-Aug-22,380001,p6,0.77
01-Aug-22,302001,p6,0.66
01-Aug-22,226001,p6,0.55
01-Aug-22,800008,p6,0.34
01-Aug-22,641001,p6,0.61
01-Aug-22,160017,p6,0.27
01-Aug-22,122001,p6,0.16
01-Aug-22,492001,p6,0.13
01-Sep-22,400001,p6,1.9
01-Sep-22,110001,p6,1.82
01-Sep-22,700001,p6,1.56
01-Sep-22,560001,p6,1.18
01-Sep-22,600001,p6,0.79
01-Sep-22,500001,p6,0.84
01-Sep-22,411001,p6,1.27
01-Sep-22,380001,p6,0.78
01-Sep-22,302001,p6,0.45
01-Sep-22,226001,p6,0.51
01-Sep-22,800008,p6,0.39
01-Sep-22,641001,p6,0.32
01-Sep-22,160017,p6,0.35
01-Sep-22,122001,p6,0.21
01-Sep-22,492001,p6,0.14
01-Jan-22,400001,p7,1.74
01-Jan-22,110001,p7,1.86
01-Jan-22,700001,p7,1.25
01-Jan-22,560001,p7,1.5
01-Jan-22,600001,p7,0.97
01-Jan-22,500001,p7,0.92
01-Jan-22,411001,p7,0.81
01-Jan-22,380001,p7,0.69
01-Jan-22,302001,p7,0.68
01-Jan-22,226001,p7,0.51
01-Jan-22,800008,p7,0.48
01-Jan-22,641001,p7,0.28
01-Jan-22,160017,p7,0.24
01-Jan-22,122001,p7,0.19
01-Jan-22,492001,p7,0.13
01-Feb-22,400001,p7,1.81
01-Feb-22,110001,p7,2.14
01-Feb-22,700001,p7,1.68
01-Feb-22,560001,p7,1.94
01-Feb-22,600001,p7,2.34
01-Feb-22,500001,p7,1.16
01-Feb-22,411001,p7,0.89
01-Feb-22,380001,p7,0.66
01-Feb-22,302001,p7,0.52
01-Feb-22,226001,p7,1.12
01-Feb-22,800008,p7,0.46
01-Feb-22,641001,p7,0.41
01-Feb-22,160017,p7,0.2
01-Feb-22,122001,p7,0.32
01-Feb-22,492001,p7,0.17
01-Mar-22,400001,p7,2.37
01-Mar-22,110001,p7,2.11
01-Mar-22,700001,p7,2.66
01-Mar-22,560001,p7,1.4
01-Mar-22,600001,p7,0.83
01-Mar-22,500001,p7,1.16
01-Mar-22,411001,p7,1.32
01-Mar-22,380001,p7,0.87
01-Mar-22,302001,p7,0.68
01-Mar-22,226001,p7,0.52
01-Mar-22,800008,p7,0.34
01-Mar-22,641001,p7,0.65
01-Mar-22,160017,p7,0.34
01-Mar-22,122001,p7,0.21
01-Mar-22,492001,p7,0.13
01-Apr-22,400001,p7,2.21
01-Apr-22,110001,p7,1.51
01-Apr-22,700001,p7,1.6
01-Apr-22,560001,p7,1.51
01-Apr-22,600001,p7,1.47
01-Apr-22,500001,p7,0.95
01-Apr-22,411001,p7,1.79
01-Apr-22,380001,p7,0.97
01-Apr-22,302001,p7,0.56
01-Apr-22,226001,p7,0.54
